,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AU1,AW1,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
907,72066900247,2022-01-13T12:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,C","+0100,C","99999,9",,,,,,"02,5,+01097,5,99,9","02,5,+01524,5,99,9","04,5,+01829,5,99,9","1,99,1,+01097,5,9","1,99,1,+01524,5,9","2,99,1,+01829,5,9","9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01097,1,99,9,99,9","10224,5,09955,5",,,MET09001/13/22 06:00:02 METAR KGUL 131200Z 00000KT 10SM FEW036 FEW050 SCT060 19/10 A3019 RMK A01,R01    197TMP046R02    107DPT046D01      0ADE726
908,72066900247,2022-01-13T12:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01524,5,M,N","016093,5,N,5","+0190,5","+0110,5","99999,9",,,,,,"02,5,+01097,5,99,9","07,5,+01524,5,99,9","07,5,+01829,5,99,9","1,99,1,+01097,5,9","3,99,1,+01524,5,9","3,99,1,+01829,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01097,1,99,9,99,9","10224,5,09955,5",,,MET09001/13/22 06:20:02 METAR KGUL 131220Z 00000KT 10SM FEW036 BKN050 BKN060 19/11 A3019 RMK A01,
909,72066900247,2022-01-13T12:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01524,5,M,N","016093,5,N,5","+0190,5","+0110,5","99999,9",,,,,,"08,5,+01524,5,99,9",,,"4,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10224,5,09955,5",,,MET07601/13/22 06:40:02 METAR KGUL 131240Z 00000KT 10SM OVC050 19/11 A3019 RMK A01,
910,72066900247,2022-01-13T13:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,C","+0110,C","99999,9",,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10227,5,09958,5",,,MET07601/13/22 07:00:02 METAR KGUL 131300Z 00000KT 10SM SCT050 19/11 A3020 RMK A01,R01    197TMP046R02    117DPT046D01      0ADE726
911,72066900247,2022-01-13T13:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,5","+0110,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10227,5,09958,5",,,MET07301/13/22 07:20:02 METAR KGUL 131320Z 00000KT 10SM CLR 19/11 A3020 RMK A01,
912,72066900247,2022-01-13T13:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,5","+0110,5","99999,9",,,,,,"04,5,+01676,5,99,9",,,"2,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01676,1,99,9,99,9","10227,5,09958,5",,,MET07601/13/22 07:40:02 METAR KGUL 131340Z 00000KT 10SM SCT055 19/11 A3020 RMK A01,D01      0ADE726
913,72066900247,2022-01-13T14:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,C","+0120,C","99999,9",,,,,,"04,5,+01676,5,99,9",,,"2,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01676,1,99,9,99,9","10227,5,09958,5",,,MET07601/13/22 08:00:02 METAR KGUL 131400Z 00000KT 10SM SCT055 19/12 A3020 RMK A01,R01    197TMP046R02    127DPT046D01      0ADE726
914,72066900247,2022-01-13T14:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01128,5,M,N","016093,5,N,5","+0200,5","+0120,5","99999,9",,,,,,"04,5,+00914,5,99,9","07,5,+01128,5,99,9","07,5,+01676,5,99,9","2,99,1,+00914,5,9","3,99,1,+01128,5,9","3,99,1,+01676,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10227,5,09958,5",,,MET09001/13/22 08:20:02 METAR KGUL 131420Z 00000KT 10SM SCT030 BKN037 BKN055 20/12 A3020 RMK A01,
915,72066900247,2022-01-13T14:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01006,5,M,N","016093,5,N,5","+0200,5","+0130,5","99999,9",,,,,,"07,5,+01006,5,99,9","07,5,+01524,5,99,9",,"3,99,1,+01006,5,9","3,99,1,+01524,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01006,1,99,9,99,9","10227,5,09958,5",,,MET08301/13/22 08:40:02 METAR KGUL 131440Z 00000KT 10SM BKN033 BKN050 20/13 A3020 RMK A01,
916,72066900247,2022-01-13T15:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0210,C","+0120,C","99999,9",,,,,,"02,5,+01036,5,99,9","02,5,+01524,5,99,9","04,5,+01676,5,99,9","1,99,1,+01036,5,9","1,99,1,+01524,5,9","2,99,1,+01676,5,9","9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01036,1,99,9,99,9","10227,5,09958,5",,,MET09001/13/22 09:00:02 METAR KGUL 131500Z 00000KT 10SM FEW034 FEW050 SCT055 21/12 A3020 RMK A01,R01    217TMP046R02    127DPT046D01      0ADE726
