,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AU1,AU2,AW1,AW2,AW3,AW4,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MV1,MW1,OC1,REM,EQD
25,72214753817,2022-01-01T08:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"190,5,N,0036,5","00305,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00305,5,99,9","07,5,+00427,5,99,9","07,5,+00610,5,99,9","3,99,1,+00305,5,9","3,99,1,+00427,5,9","3,99,1,+00610,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10169,5,10061,5",,,,MET09001/01/22 03:35:02 METAR KMGR 010835Z 19007KT 10SM BKN010 BKN014 BKN020 21/20 A3003 RMK AO2,
26,72214753817,2022-01-01T08:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"210,5,N,0031,5","00671,5,M,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"04,5,+00305,5,99,9","04,5,+00396,5,99,9","07,5,+00671,5,99,9","2,99,1,+00305,5,9","2,99,1,+00396,5,9","3,99,1,+00671,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10169,5,10061,5",,,,MET09001/01/22 03:55:02 METAR KMGR 010855Z 21006KT 10SM SCT010 SCT013 BKN022 21/20 A3003 RMK AO2,R01    217TMP046R02    207DPT046
27,72214753817,2022-01-01T09:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0015,5","00549,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00366,5,99,9","08,5,+00549,5,99,9",,"2,99,1,+00366,5,9","4,99,1,+00549,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10166,5,10058,5",,,,MET08301/01/22 04:15:02 METAR KMGR 010915Z 20003KT 10SM SCT012 OVC018 21/20 A3002 RMK AO2,
28,72214753817,2022-01-01T09:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0021,5","00518,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00335,5,99,9","07,5,+00518,5,99,9","07,5,+00701,5,99,9","2,99,1,+00335,5,9","3,99,1,+00518,5,9","3,99,1,+00701,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10166,5,10058,5",,,,MET09001/01/22 04:35:02 METAR KMGR 010935Z 20004KT 10SM SCT011 BKN017 BKN023 21/20 A3002 RMK AO2,
29,72214753817,2022-01-01T09:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"190,5,N,0026,5","00671,5,M,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"04,5,+00335,5,99,9","04,5,+00488,5,99,9","08,5,+00671,5,99,9","2,99,1,+00335,5,9","2,99,1,+00488,5,9","4,99,1,+00671,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10163,5,10055,5",,,,MET09001/01/22 04:55:02 METAR KMGR 010955Z 19005KT 10SM SCT011 SCT016 OVC022 21/20 A3001 RMK AO2,R01    217TMP046R02    207DPT046
30,72214753817,2022-01-01T10:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"170,5,N,0021,5","00732,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00732,5,99,9",,,"3,99,1,+00732,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00732,1,99,9,99,9","10163,5,10055,5",,,,MET07601/01/22 05:15:02 METAR KMGR 011015Z 17004KT 10SM BKN024 21/20 A3001 RMK AO2,
31,72214753817,2022-01-01T10:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"180,5,N,0031,5","00671,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00305,5,99,9","04,5,+00457,5,99,9","07,5,+00671,5,99,9","2,99,1,+00305,5,9","2,99,1,+00457,5,9","3,99,1,+00671,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10166,5,10058,5",,,,MET09001/01/22 05:35:02 METAR KMGR 011035Z 18006KT 10SM SCT010 SCT015 BKN022 21/20 A3002 RMK AO2,
32,72214753817,2022-01-01T10:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"180,5,N,0026,5","00671,5,M,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"04,5,+00244,5,99,9","04,5,+00457,5,99,9","07,5,+00671,5,99,9","2,99,1,+00244,5,9","2,99,1,+00457,5,9","3,99,1,+00671,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10166,5,10058,5",,,,MET09001/01/22 05:55:02 METAR KMGR 011055Z 18005KT 10SM SCT008 SCT015 BKN022 21/20 A3002 RMK AO2,R01    217TMP046R02    207DPT046
33,72214753817,2022-01-01T11:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"180,5,N,0031,5","00640,5,M,N","016093,5,N,5","+0210,5","+0190,5","99999,9",,,,,,,,,,,"04,5,+00244,5,99,9","07,5,+00640,5,99,9",,"2,99,1,+00244,5,9","3,99,1,+00640,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10166,5,10058,5",,,,MET08301/01/22 06:15:02 METAR KMGR 011115Z 18006KT 10SM SCT008 BKN021 21/19 A3002 RMK AO2,
34,72214753817,2022-01-01T11:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"180,5,N,0026,5","00579,5,M,N","016093,5,N,5","+0210,5","+0190,5","99999,9",,,,,,,,,,,"07,5,+00579,5,99,9",,,"3,99,1,+00579,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9","10166,5,10058,5",,,,MET07601/01/22 06:35:02 METAR KMGR 011135Z 18005KT 10SM BKN019 21/19 A3002 RMK AO2,
