,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AU2,AW1,AW2,AW3,AW4,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MV1,MW1,OC1,REM,EQD
8551,72073800267,2022-04-30T04:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"110,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0200,5","+0130,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/29/22 23:35:02 METAR KTVI 300435Z 11003KT 10SM CLR 20/13 A3009 RMK AO2,
8552,72073800267,2022-04-30T04:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0200,C","+0130,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/29/22 23:55:02 METAR KTVI 300455Z 12005KT 10SM CLR 20/13 A3009 RMK AO2,R01    207TMP046R02    137DPT046
8553,72073800267,2022-04-30T05:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0190,5","+0130,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/30/22 00:15:02 METAR KTVI 300515Z 13005KT 10SM CLR 19/13 A3009 RMK AO2,
8554,72073800267,2022-04-30T05:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0190,5","+0130,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10090,5",,,,MET07304/30/22 00:35:02 METAR KTVI 300535Z 12007KT 10SM CLR 19/13 A3008 RMK AO2,
8555,72073800267,2022-04-30T05:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0190,C","+0130,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10090,5",,,,MET07304/30/22 00:55:02 METAR KTVI 300555Z 13006KT 10SM CLR 19/13 A3008 RMK AO2,R01    197TMP046R02    137DPT046
8556,72073800267,2022-04-30T06:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0190,5","+0140,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,5,10087,5",,,,MET07304/30/22 01:15:02 METAR KTVI 300615Z 14007KT 10SM CLR 19/14 A3007 RMK AO2,
8557,72073800267,2022-04-30T06:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,5","+0140,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,5,10087,5",,,,MET07304/30/22 01:35:02 METAR KTVI 300635Z 14005KT 10SM CLR 18/14 A3007 RMK AO2,
8558,72073800267,2022-04-30T06:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,C","+0140,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 01:55:02 METAR KTVI 300655Z 14005KT 10SM CLR 18/14 A3006 RMK AO2,R01    187TMP046R02    147DPT046
8559,72073800267,2022-04-30T07:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0180,5","+0140,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET08404/30/22 02:15:02 METAR KTVI 300715Z 14006KT 10SM CLR 18/14 A3006 RMK AO2 LTG DSNT W,
8560,72073800267,2022-04-30T07:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,5","+0140,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,10080,5",,,,MET07304/30/22 02:35:02 METAR KTVI 300735Z 14005KT 10SM CLR 18/14 A3005 RMK AO2,
8561,72073800267,2022-04-30T07:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,C","+0150,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,10080,5",,,,MET07304/30/22 02:55:02 METAR KTVI 300755Z 14005KT 10SM CLR 18/15 A3005 RMK AO2,R01    187TMP046R02    157DPT046
8562,72073800267,2022-04-30T08:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0180,5","+0140,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,10080,5",,,,MET07304/30/22 03:15:02 METAR KTVI 300815Z 14006KT 10SM CLR 18/14 A3005 RMK AO2,
8563,72073800267,2022-04-30T08:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"150,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,5","+0150,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET08504/30/22 03:35:02 METAR KTVI 300835Z 15005KT 10SM CLR 18/15 A3006 RMK AO2 LTG DSNT SW,
8564,72073800267,2022-04-30T08:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"150,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0180,C","+0150,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 03:55:02 METAR KTVI 300855Z 15005KT 10SM CLR 18/15 A3006 RMK AO2,R01    187TMP046R02    157DPT046
8565,72073800267,2022-04-30T09:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"140,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0170,5","+0150,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 04:15:02 METAR KTVI 300915Z 14005KT 10SM CLR 17/15 A3006 RMK AO2,
8566,72073800267,2022-04-30T09:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0170,5","+0150,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 04:35:02 METAR KTVI 300935Z 13004KT 10SM CLR 17/15 A3006 RMK AO2,
8567,72073800267,2022-04-30T09:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0170,C","+0150,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 04:55:02 METAR KTVI 300955Z 13004KT 10SM CLR 17/15 A3006 RMK AO2,R01    177TMP046R02    157DPT046
8568,72073800267,2022-04-30T10:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0170,5","+0150,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/30/22 05:15:02 METAR KTVI 301015Z 13003KT 10SM CLR 17/15 A3006 RMK AO2,
8569,72073800267,2022-04-30T10:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0170,5","+0150,5","99999,9",,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10179,5,10083,5",,,,MET07604/30/22 05:35:02 METAR KTVI 301035Z 13003KT 10SM SCT050 17/15 A3006 RMK AO2,
8570,72073800267,2022-04-30T10:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"110,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0160,C","+0150,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10090,5",,,,MET07304/30/22 05:55:02 METAR KTVI 301055Z 11003KT 10SM CLR 16/15 A3008 RMK AO2,R01    167TMP046R02    157DPT046
