,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
3401,72032104893,2022-02-18T06:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"290,5,N,0036,5","01006,5,M,N","016093,5,N,5","-0120,5","-0140,5","99999,9",,,,,,,,,"08,5,+01006,5,99,9",,,"4,99,1,+01006,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01006,1,99,9,99,9","10142,5,09910,5",,,MET07802/18/22 01:15:02 METAR KSLH 180615Z 29007KT 10SM OVC033 M12/M14 A2995 RMK AO2,
3402,72032104893,2022-02-18T06:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0036,5","00884,5,M,N","016093,5,N,5","-0110,5","-0140,5","99999,9",,,,,,,,,"08,5,+00884,5,99,9",,,"4,99,1,+00884,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00884,1,99,9,99,9","10146,5,09913,5",,,MET07802/18/22 01:35:02 METAR KSLH 180635Z 30007KT 10SM OVC029 M11/M14 A2996 RMK AO2,
3403,72032104893,2022-02-18T06:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"310,5,N,0046,5","00823,5,M,N","016093,5,N,5","-0110,C","-0140,C","99999,9",,,,,,,,,"08,5,+00823,5,99,9",,,"4,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10149,5,09916,5",,,MET07802/18/22 01:55:02 METAR KSLH 180655Z 31009KT 10SM OVC027 M11/M14 A2997 RMK AO2,R01   M117TMP046R02   M147DPT046
3404,72032104893,2022-02-18T07:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0041,5","00884,5,M,N","016093,5,N,5","-0110,5","-0150,5","99999,9",,,,,,,,,"04,5,+00732,5,99,9","08,5,+00884,5,99,9",,"2,99,1,+00732,5,9","4,99,1,+00884,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00732,1,99,9,99,9","10149,5,09916,5",,,MET08502/18/22 02:15:02 METAR KSLH 180715Z 33008KT 10SM SCT024 OVC029 M11/M15 A2997 RMK AO2,
3405,72032104893,2022-02-18T07:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0041,5","00884,5,M,N","016093,5,N,5","-0110,5","-0160,5","99999,9",,,,,,,,,"08,5,+00884,5,99,9",,,"4,99,1,+00884,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00884,1,99,9,99,9","10152,5,09920,5",,"0098,5",MET08102/18/22 02:35:02 METAR KSLH 180735Z 33008G19KT 10SM OVC029 M11/M16 A2998 RMK AO2,
3406,72032104893,2022-02-18T07:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0041,5","00823,5,M,N","016093,5,N,5","-0120,C","-0160,C","99999,9",,,,,,,,,"08,5,+00823,5,99,9",,,"4,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10152,5,09920,5",,"0077,5",MET08102/18/22 02:55:02 METAR KSLH 180755Z 33008G15KT 10SM OVC027 M12/M16 A2998 RMK AO2,R01   M127TMP046R02   M167DPT046
3407,72032104893,2022-02-18T08:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"320,5,N,0041,5","00762,5,M,N","016093,5,N,5","-0120,5","-0160,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10156,5,09923,5",,,MET07802/18/22 03:15:02 METAR KSLH 180815Z 32008KT 10SM OVC025 M12/M16 A2999 RMK AO2,
3408,72032104893,2022-02-18T08:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0051,5","00762,5,M,N","016093,5,N,5","-0120,5","-0160,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10159,5,09926,5",,,MET07802/18/22 03:35:02 METAR KSLH 180835Z 30010KT 10SM OVC025 M12/M16 A3000 RMK AO2,
3409,72032104893,2022-02-18T08:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0046,5","00762,5,M,N","016093,5,N,5","-0130,C","-0170,C","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10159,5,09926,5",,,MET07802/18/22 03:55:02 METAR KSLH 180855Z 33009KT 10SM OVC025 M13/M17 A3000 RMK AO2,R01   M137TMP046R02   M177DPT046
3410,72032104893,2022-02-18T09:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0051,5","00762,5,M,N","016093,5,N,5","-0130,5","-0170,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10163,5,09930,5",,"0077,5",MET08102/18/22 04:15:02 METAR KSLH 180915Z 33010G15KT 10SM OVC025 M13/M17 A3001 RMK AO2,
3411,72032104893,2022-02-18T09:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"320,5,N,0036,5","00823,5,M,N","016093,5,N,5","-0130,5","-0170,5","99999,9",,,,,,,,,"08,5,+00823,5,99,9",,,"4,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10166,5,09933,5",,,MET07802/18/22 04:35:02 METAR KSLH 180935Z 32007KT 10SM OVC027 M13/M17 A3002 RMK AO2,
3412,72032104893,2022-02-18T09:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0041,5","00823,5,M,N","016093,5,N,5","-0130,C","-0170,C","99999,9",,,,,,,,,"08,5,+00823,5,99,9",,,"4,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10169,5,09936,5",,,MET07802/18/22 04:55:02 METAR KSLH 180955Z 33008KT 10SM OVC027 M13/M17 A3003 RMK AO2,R01   M137TMP046R02   M177DPT046
3413,72032104893,2022-02-18T10:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0051,5","00762,5,M,N","016093,5,N,5","-0130,5","-0170,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10173,5,09940,5",,,MET07802/18/22 05:15:02 METAR KSLH 181015Z 33010KT 10SM OVC025 M13/M17 A3004 RMK AO2,
3414,72032104893,2022-02-18T10:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"340,5,N,0041,5","00762,5,M,N","016093,5,N,5","-0130,5","-0170,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10176,5,09943,5",,,MET07802/18/22 05:35:02 METAR KSLH 181035Z 34008KT 10SM OVC025 M13/M17 A3005 RMK AO2,
3415,72032104893,2022-02-18T10:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"320,5,N,0051,5","00762,5,M,N","016093,5,N,5","-0140,C","-0180,C","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10179,5,09946,5",,"0082,5",MET08102/18/22 05:55:02 METAR KSLH 181055Z 32010G16KT 10SM OVC025 M14/M18 A3006 RMK AO2,R01   M147TMP046R02   M187DPT046
3416,72032104893,2022-02-18T11:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"330,5,N,0036,5","00762,5,M,N","016093,5,N,5","-0140,5","-0180,5","99999,9",,,,,,,,,"08,5,+00762,5,99,9",,,"4,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10183,5,09950,5",,,MET07802/18/22 06:15:02 METAR KSLH 181115Z 33007KT 10SM OVC025 M14/M18 A3007 RMK AO2,
3417,72032104893,2022-02-18T11:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"320,5,N,0041,5","00701,5,M,N","016093,5,N,5","-0140,5","-0180,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10186,5,09953,5",,,MET07802/18/22 06:35:02 METAR KSLH 181135Z 32008KT 10SM OVC023 M14/M18 A3008 RMK AO2,
3418,72032104893,2022-02-18T11:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"340,5,N,0036,5","00701,5,M,N","016093,5,N,5","-0140,C","-0180,C","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10186,5,09953,5",,,MET07802/18/22 06:55:02 METAR KSLH 181155Z 34007KT 10SM OVC023 M14/M18 A3008 RMK AO2,R01   M147TMP046R02   M187DPT046
3419,72032104893,2022-02-18T12:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"340,5,N,0026,5","00701,5,M,N","016093,5,N,5","-0150,5","-0180,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10190,5,09956,5",,,MET07802/18/22 07:15:02 METAR KSLH 181215Z 34005KT 10SM OVC023 M15/M18 A3009 RMK AO2,
3420,72032104893,2022-02-18T12:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"010,5,N,0026,5","00701,5,M,N","016093,5,N,5","-0150,5","-0180,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 07:35:02 METAR KSLH 181235Z 01005KT 10SM OVC023 M15/M18 A3010 RMK AO2,
3421,72032104893,2022-02-18T12:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"360,5,N,0031,5","00701,5,M,N","016093,5,N,5","-0150,C","-0180,C","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 07:55:02 METAR KSLH 181255Z 36006KT 10SM OVC023 M15/M18 A3010 RMK AO2,R01   M157TMP046R02   M187DPT046
3422,72032104893,2022-02-18T13:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"010,5,N,0015,5","00701,5,M,N","016093,5,N,5","-0150,5","-0180,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 08:15:02 METAR KSLH 181315Z 01003KT 10SM OVC023 M15/M18 A3010 RMK AO2,
3423,72032104893,2022-02-18T13:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"360,5,N,0015,5","00701,5,M,N","016093,5,N,5","-0150,5","-0190,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 08:35:02 METAR KSLH 181335Z 36003KT 10SM OVC023 M15/M19 A3010 RMK AO2,
3424,72032104893,2022-02-18T13:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"020,5,N,0015,5","00701,5,M,N","016093,5,N,5","-0150,C","-0190,C","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 08:55:02 METAR KSLH 181355Z 02003KT 10SM OVC023 M15/M19 A3010 RMK AO2,R01   M157TMP046R02   M197DPT046
3425,72032104893,2022-02-18T14:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"360,5,N,0015,5","00701,5,M,N","016093,5,N,5","-0150,5","-0180,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10196,5,09963,5",,,MET07802/18/22 09:15:02 METAR KSLH 181415Z 36003KT 10SM OVC023 M15/M18 A3011 RMK AO2,
3426,72032104893,2022-02-18T14:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"999,9,C,0000,5","00701,5,M,N","016093,5,N,5","-0150,5","-0190,5","99999,9",,,,,,,,,"08,5,+00701,5,99,9",,,"4,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10193,5,09960,5",,,MET07802/18/22 09:35:02 METAR KSLH 181435Z 00000KT 10SM OVC023 M15/M19 A3010 RMK AO2,
