,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AT6,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
3986,72034054818,2022-02-28T12:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0031,5","22000,5,9,N","016093,5,N,5","-0070,5","-0147,5","99999,9",,,,,,,,,,"04,5,+02438,5,99,9","04,5,+02743,5,99,9",,"2,99,1,+02438,5,9","2,99,1,+02743,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,02438,1,99,9,99,9",,,,,"10234,5,10002,5",,,MET09502/28/22 07:35:01 METAR KFKS 281235Z 12006KT 10SM SCT080 SCT090 M07/M15 A3022 RMK AO2 T10701147,D01      0ADE726
3987,72034054818,2022-02-28T12:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0069,5","-0145,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10230,5,09999,5",,,MET08502/28/22 07:55:01 METAR KFKS 281255Z 12005KT 10SM CLR M07/M14 A3021 RMK AO2 T10691145,
3988,72034054818,2022-02-28T13:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0031,5","22000,5,9,N","016093,5,N,5","-0066,5","-0145,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10234,5,10002,5",,,MET08502/28/22 08:15:01 METAR KFKS 281315Z 12006KT 10SM CLR M07/M14 A3022 RMK AO2 T10661145,
3989,72034054818,2022-02-28T13:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0064,5","-0140,5","99999,9",,,,,,,,,,"04,5,+03658,5,99,9",,,"2,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,03658,1,99,9,99,9",,,,,"10230,5,09999,5",,,MET08802/28/22 08:35:01 METAR KFKS 281335Z 12005KT 10SM SCT120 M06/M14 A3021 RMK AO2 T10641140,D01      0ADE726
3990,72034054818,2022-02-28T13:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0036,5","03658,5,M,N","016093,5,N,5","-0060,5","-0135,5","99999,9",,,,,,,,,,"07,5,+03658,5,99,9",,,"3,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,03658,1,99,9,99,9",,,,,"10230,5,09999,5",,,MET08802/28/22 08:55:01 METAR KFKS 281355Z 12007KT 10SM BKN120 M06/M13 A3021 RMK AO2 T10601135,
3991,72034054818,2022-02-28T14:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"130,5,N,0031,5","03353,5,M,N","016093,5,N,5","-0056,5","-0130,5","99999,9",,,,,,,,,,"04,5,+02438,5,99,9","07,5,+03353,5,99,9",,"2,99,1,+02438,5,9","3,99,1,+03353,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02438,1,99,9,99,9",,,,,"10227,5,09995,5",,,MET09502/28/22 09:15:01 METAR KFKS 281415Z 13006KT 10SM SCT080 BKN110 M06/M13 A3020 RMK AO2 T10561130,
3992,72034054818,2022-02-28T14:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"130,5,N,0026,5","03658,5,M,N","016093,5,N,5","-0053,5","-0126,5","99999,9",,,,,,,,,,"04,5,+02438,5,99,9","04,5,+03048,5,99,9","07,5,+03658,5,99,9","2,99,1,+02438,5,9","2,99,1,+03048,5,9","3,99,1,+03658,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02438,1,99,9,99,9",,,,,"10227,5,09995,5",,,MET10202/28/22 09:35:01 METAR KFKS 281435Z 13005KT 10SM SCT080 SCT100 BKN120 M05/M13 A3020 RMK AO2 T10531126,
3993,72034054818,2022-02-28T14:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"140,5,N,0041,5","03353,5,M,N","016093,5,N,5","-0048,5","-0121,5","99999,9",,,,,,,,,,"07,5,+03353,5,99,9",,,"3,99,1,+03353,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,03353,1,99,9,99,9",,,,,"10224,5,09992,5",,,MET08802/28/22 09:55:01 METAR KFKS 281455Z 14008KT 10SM BKN110 M05/M12 A3019 RMK AO2 T10481121,
3994,72034054818,2022-02-28T15:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"140,5,N,0051,5","03353,5,M,N","016093,5,N,5","-0041,5","-0117,5","99999,9",,,,,,,,,,"07,5,+03353,5,99,9",,,"3,99,1,+03353,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,03353,1,99,9,99,9",,,,,"10220,5,09989,5",,,MET08802/28/22 10:15:01 METAR KFKS 281515Z 14010KT 10SM BKN110 M04/M12 A3018 RMK AO2 T10411117,
3995,72034054818,2022-02-28T15:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"140,5,N,0041,5","03353,5,M,N","016093,5,N,5","-0034,5","-0112,5","99999,9",,,,,,,,,,"07,5,+03353,5,99,9",,,"3,99,1,+03353,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,03353,1,99,9,99,9",,,,,"10217,5,09985,5",,"0072,5",MET09102/28/22 10:35:01 METAR KFKS 281535Z 14008G14KT 10SM BKN110 M03/M11 A3017 RMK AO2 T10341112,
