,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
5054,72212504829,2022-03-11T17:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00549,5,M,N","016093,5,N,5","-0037,5","-0076,5","99999,9",,,,,,,,,"07,5,+00549,5,99,9","08,5,+00823,5,99,9",,"3,99,1,+00549,5,9","4,99,1,+00823,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00549,1,99,9,99,9",,,,,"10149,5,09931,5",,,MET09503/11/22 12:35:02 METAR KHYX 111735Z 00000KT 10SM BKN018 OVC027 M04/M08 A2997 RMK AO2 T10371076,
5055,72212504829,2022-03-11T17:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"270,5,N,0046,5","00701,5,M,N","016093,5,N,5","-0027,5","-0087,5","99999,9",,,,,,,,,"07,5,+00701,5,99,9",,,"3,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","060,M,-0024,1","060,N,-0065,1",,,"10146,5,09927,5",,,MET10003/11/22 12:55:02 METAR KHYX 111755Z 27009KT 10SM BKN023 M03/M09 A2996 RMK AO2 T10271087 11024 21065,
5056,72212504829,2022-03-11T18:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"230,5,N,0051,5","00701,5,M,N","016093,5,N,5","-0025,5","-0085,5","99999,9",,,,,,,,,"07,5,+00701,5,99,9",,,"3,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9",,,,,"10139,5,09921,5",,,MET08803/11/22 13:15:02 METAR KHYX 111815Z 23010KT 10SM BKN023 M02/M08 A2994 RMK AO2 T10251085,
5057,72212504829,2022-03-11T18:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"280,5,N,0036,5","00701,5,M,N","016093,5,N,5","-0019,5","-0085,5","99999,9",,,,,,,,,"07,5,+00701,5,99,9","07,5,+00884,5,99,9",,"3,99,1,+00701,5,9","3,99,1,+00884,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9",,,,,"10135,5,09917,5",,,MET09503/11/22 13:35:02 METAR KHYX 111835Z 28007KT 10SM BKN023 BKN029 M02/M08 A2993 RMK AO2 T10191085,
5058,72212504829,2022-03-11T18:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"260,5,N,0051,5","00762,5,M,N","016093,5,N,5","-0020,5","-0087,5","99999,9",,,,,,,,,"07,5,+00762,5,99,9","07,5,+00945,5,99,9",,"3,99,1,+00762,5,9","3,99,1,+00945,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9",,,,,"10132,5,09914,5",,,MET09503/11/22 13:55:02 METAR KHYX 111855Z 26010KT 10SM BKN025 BKN031 M02/M09 A2992 RMK AO2 T10201087,
5059,72212504829,2022-03-11T19:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"270,5,N,0062,5","22000,5,9,N","016093,5,N,5","-0016,5","-0111,5","99999,9",,,,,,,,,"04,5,+00762,5,99,9","04,5,+00945,5,99,9",,"2,99,1,+00762,5,9","2,99,1,+00945,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00762,1,99,9,99,9",,,,,"10129,5,09911,5",,,MET09503/11/22 14:15:02 METAR KHYX 111915Z 27012KT 10SM SCT025 SCT031 M02/M11 A2991 RMK AO2 T10161111,D01      0ADE726
5060,72212504829,2022-03-11T19:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"250,5,N,0062,5","22000,5,9,N","016093,5,N,5","-0014,5","-0105,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10129,5,09911,5",,,MET08503/11/22 14:35:02 METAR KHYX 111935Z 25012KT 10SM CLR M01/M10 A2991 RMK AO2 T10141105,
5061,72212504829,2022-03-11T19:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"250,5,N,0062,5","22000,5,9,N","016093,5,N,5","-0016,5","-0097,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10129,5,09911,5",,,MET08503/11/22 14:55:02 METAR KHYX 111955Z 25012KT 10SM CLR M02/M10 A2991 RMK AO2 T10161097,
5062,72212504829,2022-03-11T20:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"240,5,N,0072,5","22000,5,9,N","016093,5,N,5","-0015,5","-0100,5","99999,9",,,,,,,,,"04,5,+01036,5,99,9",,,"2,99,1,+01036,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01036,1,99,9,99,9",,,,,"10129,5,09911,5",,"0088,5",MET09103/11/22 15:15:02 METAR KHYX 112015Z 24014G17KT 10SM SCT034 M01/M10 A2991 RMK AO2 T10151100,D01      0ADE726
5063,72212504829,2022-03-11T20:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"250,5,N,0067,5","22000,5,9,N","016093,5,N,5","-0013,5","-0099,5","99999,9",,,,,,,,,"04,5,+01097,5,99,9",,,"2,99,1,+01097,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01097,1,99,9,99,9",,,,,"10125,5,09907,5",,,MET08803/11/22 15:35:02 METAR KHYX 112035Z 25013KT 10SM SCT036 M01/M10 A2990 RMK AO2 T10131099,D01      0ADE726
